URL: https://teststore.automationtesting.co.uk/index.php, Title: Test Store, Crawled: true
URL: https://teststore.automationtesting.co.uk/index.php?controller=contact, Title: Contact us, Crawled: true
URL: https://teststore.automationtesting.co.uk/index.php?controller=authentication?back=https%3A%2F%2Fteststore.automationtesting.co.uk%2Findex.php%3Fcontroller%3Dcontact, Title: Login, Crawled: true
URL: https://teststore.automationtesting.co.uk/index.php?controller=authentication?back=https%3A%2F%2Fteststore.automationtesting.co.uk%2Findex.php%3Fcontroller%3Dauthentication%3Fback%3Dhttps%253A%252F%252Fteststore.automationtesting.co.uk%252Findex.php%253Fcontroller%253Dcontact, Title: Login, Crawled: true
URL: https://teststore.automationtesting.co.uk/index.php?id_category=3&controller=category, Title: Clothes, Crawled: true
URL: https://teststore.automationtesting.co.uk/index.php?id_category=4&controller=category, Title: Men, Crawled: true
URL: https://teststore.automationtesting.co.uk/index.php?id_category=5&controller=category, Title: Women, Crawled: true
URL: https://teststore.automationtesting.co.uk/index.php?id_category=6&controller=category, Title: Accessories, Crawled: true
URL: https://teststore.automationtesting.co.uk/index.php?id_category=7&controller=category, Title: Stationery, Crawled: true
URL: https://teststore.automationtesting.co.uk/index.php?id_category=8&controller=category, Title: Home Accessories, Crawled: true
URL: https://teststore.automationtesting.co.uk/index.php?id_category=9&controller=category, Title: Art, Crawled: true
URL: https://teststore.automationtesting.co.uk/index.php?controller=password, Title: Forgot your password, Crawled: true
URL: https://teststore.automationtesting.co.uk/index.php?controller=registration, Title: Registration, Crawled: true
URL: https://teststore.automationtesting.co.uk/index.php?controller=prices-drop, Title: Prices drop, Crawled: true
URL: https://teststore.automationtesting.co.uk/index.php?controller=new-products, Title: New products, Crawled: true
URL: https://teststore.automationtesting.co.uk/index.php?controller=best-sales, Title: Best sellers, Crawled: true
URL: https://teststore.automationtesting.co.uk/index.php?id_cms=1&controller=cms, Title: Delivery, Crawled: true
URL: https://teststore.automationtesting.co.uk/index.php?id_cms=2&controller=cms, Title: Legal Notice, Crawled: true
URL: https://teststore.automationtesting.co.uk/index.php?id_cms=3&controller=cms, Title: Terms and conditions of use, Crawled: true
URL: https://teststore.automationtesting.co.uk/index.php?id_cms=4&controller=cms, Title: About us, Crawled: true
URL: https://teststore.automationtesting.co.uk/index.php?id_cms=5&controller=cms, Title: Secure payment, Crawled: true
URL: https://teststore.automationtesting.co.uk/index.php?controller=sitemap, Title: Sitemap, Crawled: true
URL: https://teststore.automationtesting.co.uk/index.php?controller=stores, Title: Stores, Crawled: true
URL: https://teststore.automationtesting.co.uk/index.php?controller=my-account, Title: Login, Crawled: true
